Ticker,Sector,Date Added
A,Health Care,6/5/2000
AAL,Industrials,3/23/2015
AAP,Consumer Discretionary,7/9/2015
AAPL,Information Technology,11/30/1982
ABBV,Health Care,12/31/2012
ABC,Health Care,8/30/2001
ABMD,Health Care,5/31/2018
ABT,Health Care,3/31/1964
ACN,Information Technology,7/6/2011
ADBE,Information Technology,5/5/1997
ADI,Information Technology,10/12/1999
ADM,Consumer Staples,7/29/1981
ADP,Information Technology,3/31/1981
ADS,Information Technology,12/23/2013
ADSK,Information Technology,12/1/1989
AEE,Utilities,9/19/1991
AEP,Utilities,
AES,Utilities,10/2/1998
AFL,Financials,5/28/1999
AGN,Health Care,4/12/1999
AIG,Financials,3/31/1980
AIV,Real Estate,3/14/2003
AIZ,Financials,4/10/2007
AJG,Financials,5/31/2016
AKAM,Information Technology,7/12/2007
ALB,Materials,7/1/2016
ALGN,Health Care,6/19/2017
ALK,Industrials,5/13/2016
ALL,Financials,7/13/1995
ALLE,Industrials,12/2/2013
ALXN,Health Care,5/25/2012
AMAT,Information Technology,3/16/1995
AMCR,Materials,6/7/2019
AMD,Information Technology,3/20/2017
AME,Industrials,9/23/2013
AMGN,Health Care,1/2/1992
AMP,Financials,10/3/2005
AMT,Real Estate,11/19/2007
AMZN,Consumer Discretionary,11/18/2005
ANET,Information Technology,8/28/2018
ANSS,Information Technology,6/19/2017
ANTM,Health Care,7/25/2002
AON,Financials,4/23/1996
AOS,Industrials,7/26/2017
APA,Energy,7/28/1997
APD,Materials,4/30/1985
APH,Information Technology,9/30/2008
APTV,Consumer Discretionary,12/24/2012
ARE,Real Estate,3/20/2017
ARNC,Industrials,3/31/1964
ATO,Utilities,2/15/2019
ATVI,Communication Services,8/31/2015
AVB,Real Estate,1/10/2007
AVGO,Information Technology,5/8/2014
AVY,Materials,12/31/1987
AWK,Utilities,3/4/2016
AXP,Financials,6/30/1976
AZO,Consumer Discretionary,1/2/1997
BA,Industrials,
BAC,Financials,6/30/1976
BAX,Health Care,9/30/1972
BBY,Consumer Discretionary,6/29/1999
BDX,Health Care,9/30/1972
BEN,Financials,
BF.B,Consumer Staples,10/31/1982
BIIB,Health Care,11/13/2003
BK,Financials,3/31/1995
BKNG,Consumer Discretionary,11/6/2009
BKR,Energy,7/7/2017
BLK,Financials,4/4/2011
BLL,Materials,10/31/1984
BMY,Health Care,
BR,Information Technology,6/18/2018
BRK.B,Financials,2/16/2010
BSX,Health Care,2/24/1995
BWA,Consumer Discretionary,12/19/2011
BXP,Real Estate,4/3/2006
C,Financials,5/31/1988
CAG,Consumer Staples,8/31/1983
CAH,Health Care,5/27/1997
CAT,Industrials,
CB,Financials,7/15/2010
CBOE,Financials,3/1/2017
CBRE,Real Estate,11/10/2006
CCI,Real Estate,3/14/2012
CCL,Consumer Discretionary,12/22/1998
CDNS,Information Technology,9/18/2017
CDW,Information Technology,9/23/2019
CE,Materials,12/24/2018
CERN,Health Care,4/30/2010
CF,Materials,8/27/2008
CFG,Financials,1/29/2016
CHD,Consumer Staples,12/29/2015
CHRW,Industrials,3/2/2007
CHTR,Communication Services,9/8/2016
CI,Health Care,6/30/1976
CINF,Financials,12/18/1997
CL,Consumer Staples,
CLX,Consumer Staples,3/31/1969
CMA,Financials,12/1/1995
CMCSA,Communication Services,9/18/2015
CME,Financials,8/11/2006
CMG,Consumer Discretionary,4/28/2011
CMI,Industrials,3/31/1965
CMS,Utilities,5/3/1999
CNC,Health Care,3/30/2016
CNP,Utilities,7/31/1985
COF,Financials,7/1/1998
COG,Energy,6/23/2008
COO,Health Care,9/23/2016
COP,Energy,
COST,Consumer Staples,10/1/1993
COTY,Consumer Staples,10/3/2016
CPB,Consumer Staples,
CPRI,Consumer Discretionary,11/13/2013
CPRT,Industrials,7/2/2018
CRM,Information Technology,9/15/2008
