Ticker,Date Removed
AMG,12/23/2019
TRIP,12/23/2019
MAC,12/23/2019
STI,12/9/2019
VIAB,12/5/2019
CELG,11/21/2019
NKTR,10/3/2019
JEF,9/26/2019
TSS,9/23/2019
APC,8/9/2019
FL,8/9/2019
RHT,7/15/2019
LLL,7/1/2019
MAT,6/7/2019
FLR,6/3/2019
BHF,4/2/2019
GT,2/27/2019
NFX,2/15/2019
PCG,1/18/2019
SCG,1/2/2019
ESRX,12/24/2018
COL,12/3/2018
AET,12/3/2018
SRCL,12/3/2018
EQT,11/13/2018
CA,11/6/2018
EVHC,10/11/2018
ANDV,10/1/2018
XL,9/14/2018
GGP,8/28/2018
DPS,7/2/2018
TWX,6/20/2018
RRC,6/18/2018
AYI,6/18/2018
MON,6/7/2018
NAVI,6/5/2018
WYN,5/31/2018
CSRA,4/4/2018
SIG,3/19/2018
PDCO,3/19/2018
CHK,3/19/2018
SNI,3/7/2018
BCR,1/3/2018
LVLT,10/13/2017
SPLS,9/18/2017
DD,9/1/2017
WFM,8/29/2017
AN,8/8/2017
RIG,7/26/2017
BBBY,7/26/2017
MUR,7/26/2017
MNK,7/26/2017
RAI,7/26/2017
YHOO,6/19/2017
TDC,6/19/2017
R,6/19/2017
MJN,6/19/2017
TGNA,6/2/2017
DNB,4/5/2017
SWN,4/4/2017
URBN,3/20/2017
FTR,3/20/2017
FSLR,3/20/2017
HAR,3/16/2017
LLTC,3/13/2017
ENDP,3/2/2017
PBI,3/1/2017
SE,2/28/2017
STJ,1/5/2017
OI,12/2/2016
LM,12/2/2016
DO,9/30/2016
HOT,9/22/2016
EMC,9/8/2016
JCI,9/6/2016
CPGX,7/5/2016
GAS,7/1/2016
TE,7/1/2016
CVC,6/22/2016
BXLT,6/3/2016
CCE,5/31/2016
ARG,5/23/2016
TWC,5/18/2016
SNDK,5/13/2016
ADT,5/3/2016
GME,4/25/2016
THC,4/18/2016
CAM,4/4/2016
POM,3/30/2016
ESV,3/30/2016
GMCR,3/7/2016
CNX,3/4/2016
PCL,2/22/2016
PCP,2/1/2016
BRCM,2/1/2016
CB,1/19/2016
FOSL,1/5/2016
ALTR,12/29/2015
CMCSK,12/15/2015
CSC,12/1/2015
SIAL,11/19/2015
GNW,11/18/2015
HCBK,11/2/2015
JOY,10/7/2015
HSP,9/2/2015
PLL,8/28/2015
DTV,7/29/2015
NE,7/20/2015
FDO,7/8/2015
KRFT,7/6/2015
ATI,7/2/2015
TEG,7/1/2015
QEP,7/1/2015
LO,6/11/2015
WIN,4/7/2015
AGN,3/23/2015
DNR,3/23/2015
NBR,3/23/2015
AVP,3/23/2015
CFN,3/18/2015
PETM,3/12/2015
SWY,1/27/2015
COV,1/27/2015
BMS,12/5/2014
JBL,11/5/2014
BTU,9/20/2014
GHC,9/20/2014
RDC,8/18/2014
X,7/2/2014
FRX,7/1/2014
IGT,6/20/2014
LSI,5/8/2014
BEAM,5/1/2014
SLM,5/1/2014
CLF,4/2/2014
WPX,3/21/2014
LIFE,1/24/2014
ANF,12/23/2013
JDSU,12/23/2013
TER,12/23/2013
MOLX,12/10/2013
JCP,12/2/2013
NYX,11/13/2013
DELL,10/29/2013
AMD,9/20/2013
SAI,9/20/2013
BMC,9/10/2013
S,7/8/2013
APOL,6/28/2013
FHN,6/21/2013
HNZ,6/6/2013
DF,5/23/2013
CVH,5/8/2013
PCS,4/30/2013
BIG,2/15/2013
FII,12/31/2012
TIE,12/21/2012
RRD,12/11/2012
CBE,12/3/2012
SUN,10/10/2012
ANR,10/2/2012
LXK,10/1/2012
DV,10/1/2012
SHLD,9/5/2012
GR,7/31/2012
PGN,7/2/2012
SLE,6/29/2012
NVLS,6/5/2012
MMI,5/21/2012
EP,5/17/2012
SVU,4/23/2012
MHS,4/3/2012
CEG,3/13/2012
CPWR,12/31/2011
TLAB,12/20/2011
AKS,12/16/2011
MWW,12/16/2011
WFR,12/16/2011
GAS,12/12/2011
JNS,11/18/2011
ITT,10/31/2011
CEPH,10/14/2011
NSM,9/23/2011
MI,7/5/2011
RSH,6/30/2011
MEE,6/1/2011
NOVL,4/27/2011
GENZ,4/1/2011
Q,3/31/2011
MFE,2/28/2011
AYE,2/25/2011
KG,12/17/2010
EK,12/17/2010
ODP,12/17/2010
NYT,12/17/2010
SII,8/26/2010
MIL,7/14/2010
STR,6/30/2010
XTO,6/28/2010
BJS,4/29/2010
RX,2/26/2010
SGP,11/3/2009
CBE,9/28/2009
ACAS,3/3/2009
JNY,3/3/2009
ABK,6/10/2008
TRB,12/20/2007
DJ,12/13/2007
AV,10/25/2007
KSE,8/24/2007
TSG,3/30/2007
SBL,1/10/2007
GLK,7/1/2005
QTRN,9/25/2003
BS,12/5/2000
OI,12/5/2000
GRA,12/5/2000
CCK,12/5/2000
